route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
448,SEPTA,448,Broad-Vine to Upper Roxborough,,3,,FFFFFF,000000
45,SEPTA,45,Broad & Oregon to Noble & 12th,,3,,000000,FFFFFF
450,SEPTA,450,Frankfrd-Lindn to Bustltn-Verree,,3,,FFFFFF,000000
452,SEPTA,452,Acdmy-Medfrd to Bustltn-Verree,,3,,FFFFFF,000000
46,SEPTA,46,58th-Baltimore to 63rd-Malvern,,3,,000000,FFFFFF
461,SEPTA,461,Bustleton-Verree to Acdmy-Chalfnt,,3,,FFFFFF,000000
462,SEPTA,462,Welsh-Bridal to Acadmy-Chalfnt,,3,,FFFFFF,000000
47,SEPTA,47,Whitman Plaza to 5th-Godfrey,,3,,000000,FFFFFF
475,SEPTA,475,Bustltn-County Ln to Verree-Marchmn,,3,,FFFFFF,000000
476,SEPTA,476,Southmptn-Blvd to Verree-Marchmn,,3,,FFFFFF,000000
477,SEPTA,477,Acadmy-Comly to Verree-Marchmn,,3,,FFFFFF,000000
478,SEPTA,478,Welsh-Blvd to Verree-Marchmn,,3,,FFFFFF,000000
47M,SEPTA,47M,Whitmn Plz to 7th-Spg Grd via 9thSt,,3,,FFFFFF,000000
48,SEPTA,48,Front-Market to 27th-Allegheny,,3,,000000,FFFFFF
484,SEPTA,484,Holy Redmr Hosptl to Cottmn-Torrsdl,,3,,FFFFFF,000000
49,SEPTA,49,33rd-Dauphin to 29th-Snyder,,3,,FFFFFF,000000
490,SEPTA,490,FoxChase Lp to Verree-Marchmn,,3,,FFFFFF,000000
492,SEPTA,492,Bustltn-Rennrd to Verree-Marchmn,,3,,FFFFFF,000000
495,SEPTA,495,SHmtn-Wrtgtn to 10th-Lycomng,,3,,FFFFFF,000000
5,SEPTA,5,2nd-Market to Frankford TC,,3,,FFFFFF,000000
50,SEPTA,50,Parx Casino via Phila Mills to FTC,,3,,FFFFFF,000000
52,SEPTA,52,49th-Wdland to 54th-City/50th-PrkSd,,3,,000000,FFFFFF
53,SEPTA,53,Wayne-Carpenter to Broad-Hunting Pk,,3,,FFFFFF,000000
54,SEPTA,54,Richmond-Cambria to 33rd-Dauphin,,3,,FFFFFF,000000
55,SEPTA,55,Willow Grove & Doylestown to OTC,,3,,FFFFFF,000000
56,SEPTA,56,23rd-Venango to Torresdale-Cottman,,3,,000000,FFFFFF
57,SEPTA,57,WhitmanPlaza to RisingSun-Olney&FTC,,3,,FFFFFF,000000
58,SEPTA,58,Neshaminy Mall & Somerton to FTC,,3,,000000,FFFFFF
59,SEPTA,59,Castor-Bustleton to Arrott TC,,11,,FFFFFF,000000
6,SEPTA,6,Cheltenham-Ogontz to Olney TC,,3,,000000,FFFFFF
60,SEPTA,60,35th-Allegheny to Rich-Westmoreland,,3,,000000,FFFFFF
61,SEPTA,61,9th-Market to Manayunk,,3,,FFFFFF,000000
62,SEPTA,62,9th-Market to Andorra,,3,,FFFFFF,000000
64,SEPTA,64,50th-Parkside to Pier 70,,3,,FFFFFF,000000
65,SEPTA,65,Germantown-Chelten to 69th St TC,,3,,FFFFFF,000000
66,SEPTA,66,Frankfd TC to Frankford-Knights,,11,,000000,FFFFFF
67,SEPTA,67,Phila Mills & Bustleton to FTC,,3,,FFFFFF,000000
68,SEPTA,68,Broad-Oregon to UPS & 69th St TC,,3,,FFFFFF,000000
7,SEPTA,7,Pier 70 to 33rd-Dauphin,,3,,FFFFFF,000000
70,SEPTA,70,Fkd-Gregg/Torr-Cottmn to FRTC,,3,,000000,FFFFFF
73,SEPTA,73,FTC to Richmond-Westmoreland,,3,,FFFFFF,000000
75,SEPTA,75,Wayne Junction to Arrott Trans Ctr,,11,,FFFFFF,000000
77,SEPTA,77,Roosevelt-St Vincent to ChestntHill,,3,,FFFFFF,000000
78,SEPTA,78,Express Cornwells Hgts to Ctr City,,3,,FFFFFF,000000
79,SEPTA,79,Columbus Commons to 29th-Snyder,,3,,000000,FFFFFF
8,SEPTA,8,Olney TC to Frankford TC,,3,,FFFFFF,000000
80,SEPTA,80,Express Horsham to Olney TC,,3,,FFFFFF,000000
84,SEPTA,84,Bustleton-CoLine&Phila Mills to FTC,,3,,FFFFFF,000000
88,SEPTA,88,Bethayres & Frankford-Gregg to FTC,,3,,FFFFFF,000000
89,SEPTA,89,Front-Dauphin to Arrott TC,,3,,FFFFFF,000000
9,SEPTA,9,4th-Walnut to Andorra,,3,,FFFFFF,000000
90,SEPTA,90,Plymouth Mtng. to Norristown TC,,3,,FFFFFF,000000
91,SEPTA,91,Graterford to Norristown TC,,3,,FFFFFF,000000
92,SEPTA,92,Exton to King of Prussia,,3,,FFFFFF,000000
93,SEPTA,93,Pottstown to Norristown TC,,3,,FFFFFF,000000
94,SEPTA,94,Montgomery Mall to Chestnut Hill,,3,,FFFFFF,000000
95,SEPTA,95,Gulph Mills to Willow Grove Mall,,3,,FFFFFF,000000
96,SEPTA,96,Lansdale to Norristown TC,,3,,FFFFFF,000000
97,SEPTA,97,Chestnut Hill to Norristown TC,,3,,FFFFFF,000000
98,SEPTA,98,Plymouth Mtng to Norristown TC,,3,,FFFFFF,000000
99,SEPTA,99,Phoenixville to Norristown TC,,3,,FFFFFF,000000
BLVDDIR,SEPTA,BLVDDIR,Blvd Direct Nshmny Mall to FTC,,3,,FFFFFF,000000
BSL,SEPTA,BSL,Broad Street Line,,1,,F26100,FFFFFF
BSO,SEPTA,BSO,Midnight-5am Service (Bus) for BSL,,3,,FFFFFF,000000
G,SG,Overbk/LankMC to ColCom/FdDstCtr,,3,,000000,FFFFFF
